Scans,Date,Time,Integrating Light,microMole/s/m2
119,24/08/2017 , 10:00:00,37285,33507.47
120,24/08/2017 , 12:00:00,26094,23460.19
121,24/08/2017 , 14:00:00,65535,58870.32
122,24/08/2017 , 16:00:00,25961,23340.79
123,24/08/2017 , 18:00:00,9072,8177.84
124,24/08/2017 , 20:00:00,1811,1658.92
125,24/08/2017 , 22:00:00,0,33
126,24/08/2017 , 24:00:00,0,33
127,25/08/2017 , 02:00:00,0,33
128,25/08/2017 , 04:00:00,0,33
129,25/08/2017 , 06:00:00,2,34.8
130,25/08/2017 , 08:00:00,2631,2395.11
131,25/08/2017 , 10:00:00,27228,24478.3
132,25/08/2017 , 12:00:00,22423,20164.37
133,25/08/2017 , 14:00:00,65535,58870.32
134,25/08/2017 , 16:00:00,30519,27432.96
135,25/08/2017 , 18:00:00,9167,8263.13
136,25/08/2017 , 20:00:00,1672,1534.12
137,25/08/2017 , 22:00:00,0,33
138,25/08/2017 , 24:00:00,0,33
139,26/08/2017 , 02:00:00,0,33
140,26/08/2017 , 04:00:00,0,33
141,26/08/2017 , 06:00:00,2,34.8
142,26/08/2017 , 08:00:00,2235,2039.58
143,26/08/2017 , 10:00:00,42133,37860.01
144,26/08/2017 , 12:00:00,30306,27241.73
145,26/08/2017 , 14:00:00,65535,58870.32
146,26/08/2017 , 16:00:00,18453,16600.1
147,26/08/2017 , 18:00:00,7855,7085.22
148,26/08/2017 , 20:00:00,615,585.15
149,26/08/2017 , 22:00:00,0,33
150,26/08/2017 , 24:00:00,0,33
151,27/08/2017 , 02:00:00,0,33
152,27/08/2017 , 04:00:00,0,33
153,27/08/2017 , 06:00:00,1,33.9
154,27/08/2017 , 08:00:00,3121,2835.03
155,27/08/2017 , 10:00:00,7519,6783.56
156,27/08/2017 , 12:00:00,6915,6241.29
157,27/08/2017 , 14:00:00,27541,24759.31
158,27/08/2017 , 16:00:00,23616,21235.44
159,27/08/2017 , 18:00:00,4779,4323.59
160,27/08/2017 , 20:00:00,922,860.77
161,27/08/2017 , 22:00:00,0,33
162,27/08/2017 , 24:00:00,0,33
163,28/08/2017 , 02:00:00,0,33
164,28/08/2017 , 04:00:00,0,33
165,28/08/2017 , 06:00:00,0,33
166,28/08/2017 , 08:00:00,1722,1579.01
167,28/08/2017 , 10:00:00,34317,30842.8
168,28/08/2017 , 12:00:00,24675,22186.22
169,28/08/2017 , 14:00:00,48264,43364.42
170,28/08/2017 , 16:00:00,12733,11464.69
171,28/08/2017 , 18:00:00,2568,2338.55
172,28/08/2017 , 20:00:00,731,689.29
173,28/08/2017 , 22:00:00,0,33
174,28/08/2017 , 24:00:00,0,33
175,29/08/2017 , 02:00:00,0,33
176,29/08/2017 , 04:00:00,0,33
177,29/08/2017 , 06:00:00,0,33
178,29/08/2017 , 08:00:00,1562,1435.36
179,29/08/2017 , 10:00:00,34683,31171.4
180,29/08/2017 , 12:00:00,6491,5860.62
181,29/08/2017 , 14:00:00,12322,11095.69
182,29/08/2017 , 16:00:00,10170,9163.63
183,29/08/2017 , 18:00:00,9271,8356.5
184,29/08/2017 , 20:00:00,1057,981.97
185,29/08/2017 , 22:00:00,0,33
186,29/08/2017 , 24:00:00,0,33
187,30/08/2017 , 02:00:00,0,33
188,30/08/2017 , 04:00:00,0,33
189,30/08/2017 , 06:00:00,1,33.9
190,30/08/2017 , 08:00:00,1722,1579.01
191,30/08/2017 , 10:00:00,40318,36230.5
192,30/08/2017 , 12:00:00,31690,28484.28
193,30/08/2017 , 14:00:00,65535,58870.32
194,30/08/2017 , 16:00:00,20070,18051.85
195,30/08/2017 , 18:00:00,10444,9409.62
196,30/08/2017 , 20:00:00,1363,1256.7
197,30/08/2017 , 22:00:00,0,33
198,30/08/2017 , 24:00:00,0,33
199,31/08/2017 , 02:00:00,0,33
200,31/08/2017 , 04:00:00,0,33
201,31/08/2017 , 06:00:00,0,33
202,31/08/2017 , 08:00:00,1811,1658.92
203,31/08/2017 , 10:00:00,26350,23690.03
204,31/08/2017 , 12:00:00,24093,21663.7
